path,pitch,yaw
HeadPose\Pointing04\personne03178+30+90.jpg,+30,+90
HeadPose\Pointing04\personne03179+60-90.jpg,+60,-90
HeadPose\Pointing04\personne03180+60-75.jpg,+60,-75
HeadPose\Pointing04\personne03181+60-60.jpg,+60,-60
HeadPose\Pointing04\personne03182+60-45.jpg,+60,-45
HeadPose\Pointing04\personne03183+60-30.jpg,+60,-30
HeadPose\Pointing04\personne03184+60-15.jpg,+60,-15
HeadPose\Pointing04\personne03185+60+0.jpg,+60,+0
HeadPose\Pointing04\personne03186+60+15.jpg,+60,+15
HeadPose\Pointing04\personne03187+60+30.jpg,+60,+30
HeadPose\Pointing04\personne03188+60+45.jpg,+60,+45
HeadPose\Pointing04\personne03189+60+60.jpg,+60,+60
HeadPose\Pointing04\personne03190+60+75.jpg,+60,+75
HeadPose\Pointing04\personne03191+60+90.jpg,+60,+90
HeadPose\Pointing04\personne03192+90+0.jpg,+90,+0
HeadPose\Pointing04\personne03200-90+0.jpg,-90,+0
HeadPose\Pointing04\personne03201-60-90.jpg,-60,-90
HeadPose\Pointing04\personne03202-60-75.jpg,-60,-75
HeadPose\Pointing04\personne03203-60-60.jpg,-60,-60
HeadPose\Pointing04\personne03204-60-45.jpg,-60,-45
HeadPose\Pointing04\personne03205-60-30.jpg,-60,-30
HeadPose\Pointing04\personne03206-60-15.jpg,-60,-15
HeadPose\Pointing04\personne03207-60+0.jpg,-60,+0
HeadPose\Pointing04\personne03208-60+15.jpg,-60,+15
HeadPose\Pointing04\personne03209-60+30.jpg,-60,+30
HeadPose\Pointing04\personne03210-60+45.jpg,-60,+45
HeadPose\Pointing04\personne03211-60+60.jpg,-60,+60
HeadPose\Pointing04\personne03212-60+75.jpg,-60,+75
HeadPose\Pointing04\personne03213-60+90.jpg,-60,+90
HeadPose\Pointing04\personne03214-30-90.jpg,-30,-90
HeadPose\Pointing04\personne03215-30-75.jpg,-30,-75
HeadPose\Pointing04\personne03216-30-60.jpg,-30,-60
HeadPose\Pointing04\personne03217-30-45.jpg,-30,-45
HeadPose\Pointing04\personne03218-30-30.jpg,-30,-30
HeadPose\Pointing04\personne03219-30-15.jpg,-30,-15
HeadPose\Pointing04\personne03220-30+0.jpg,-30,+0
HeadPose\Pointing04\personne03221-30+15.jpg,-30,+15
HeadPose\Pointing04\personne03222-30+30.jpg,-30,+30
HeadPose\Pointing04\personne03223-30+45.jpg,-30,+45
HeadPose\Pointing04\personne03224-30+60.jpg,-30,+60
HeadPose\Pointing04\personne03225-30+75.jpg,-30,+75
HeadPose\Pointing04\personne03226-30+90.jpg,-30,+90
HeadPose\Pointing04\personne03227-15-90.jpg,-15,-90
HeadPose\Pointing04\personne03228-15-75.jpg,-15,-75
HeadPose\Pointing04\personne03229-15-60.jpg,-15,-60
HeadPose\Pointing04\personne03230-15-45.jpg,-15,-45
HeadPose\Pointing04\personne03231-15-30.jpg,-15,-30
HeadPose\Pointing04\personne03232-15-15.jpg,-15,-15
HeadPose\Pointing04\personne03233-15+0.jpg,-15,+0
HeadPose\Pointing04\personne03234-15+15.jpg,-15,+15
HeadPose\Pointing04\personne03235-15+30.jpg,-15,+30
HeadPose\Pointing04\personne03236-15+45.jpg,-15,+45
HeadPose\Pointing04\personne03237-15+60.jpg,-15,+60
HeadPose\Pointing04\personne03238-15+75.jpg,-15,+75
HeadPose\Pointing04\personne03239-15+90.jpg,-15,+90
HeadPose\Pointing04\personne03240+0-90.jpg,+0,-90
HeadPose\Pointing04\personne03241+0-75.jpg,+0,-75
HeadPose\Pointing04\personne03242+0-60.jpg,+0,-60
HeadPose\Pointing04\personne03243+0-45.jpg,+0,-45
HeadPose\Pointing04\personne03244+0-30.jpg,+0,-30
HeadPose\Pointing04\personne03245+0-15.jpg,+0,-15
HeadPose\Pointing04\personne03246+0+0.jpg,+0,+0
HeadPose\Pointing04\personne03247+0+15.jpg,+0,+15
HeadPose\Pointing04\personne03248+0+30.jpg,+0,+30
HeadPose\Pointing04\personne03249+0+45.jpg,+0,+45
HeadPose\Pointing04\personne03250+0+60.jpg,+0,+60
HeadPose\Pointing04\personne03251+0+75.jpg,+0,+75
HeadPose\Pointing04\personne03252+0+90.jpg,+0,+90
HeadPose\Pointing04\personne03253+15-90.jpg,+15,-90
HeadPose\Pointing04\personne03254+15-75.jpg,+15,-75
HeadPose\Pointing04\personne03255+15-60.jpg,+15,-60
HeadPose\Pointing04\personne03256+15-45.jpg,+15,-45
HeadPose\Pointing04\personne03257+15-30.jpg,+15,-30
HeadPose\Pointing04\personne03258+15-15.jpg,+15,-15
HeadPose\Pointing04\personne03259+15+0.jpg,+15,+0
HeadPose\Pointing04\personne03260+15+15.jpg,+15,+15
HeadPose\Pointing04\personne03261+15+30.jpg,+15,+30
HeadPose\Pointing04\personne03262+15+45.jpg,+15,+45
HeadPose\Pointing04\personne03263+15+60.jpg,+15,+60
HeadPose\Pointing04\personne03264+15+75.jpg,+15,+75
HeadPose\Pointing04\personne03265+15+90.jpg,+15,+90
HeadPose\Pointing04\personne03266+30-90.jpg,+30,-90
HeadPose\Pointing04\personne03267+30-75.jpg,+30,-75
HeadPose\Pointing04\personne03268+30-60.jpg,+30,-60
HeadPose\Pointing04\personne03269+30-45.jpg,+30,-45
HeadPose\Pointing04\personne03270+30-30.jpg,+30,-30
HeadPose\Pointing04\personne03271+30-15.jpg,+30,-15
HeadPose\Pointing04\personne03272+30+0.jpg,+30,+0
HeadPose\Pointing04\personne03273+30+15.jpg,+30,+15
HeadPose\Pointing04\personne03274+30+30.jpg,+30,+30
HeadPose\Pointing04\personne03275+30+45.jpg,+30,+45
HeadPose\Pointing04\personne03276+30+60.jpg,+30,+60
HeadPose\Pointing04\personne03277+30+75.jpg,+30,+75
HeadPose\Pointing04\personne03278+30+90.jpg,+30,+90
HeadPose\Pointing04\personne03279+60-90.jpg,+60,-90
HeadPose\Pointing04\personne03280+60-75.jpg,+60,-75
HeadPose\Pointing04\personne03281+60-60.jpg,+60,-60
HeadPose\Pointing04\personne03282+60-45.jpg,+60,-45
HeadPose\Pointing04\personne03283+60-30.jpg,+60,-30
HeadPose\Pointing04\personne03284+60-15.jpg,+60,-15
HeadPose\Pointing04\personne03285+60+0.jpg,+60,+0
HeadPose\Pointing04\personne03286+60+15.jpg,+60,+15
HeadPose\Pointing04\personne03287+60+30.jpg,+60,+30
HeadPose\Pointing04\personne03288+60+45.jpg,+60,+45
HeadPose\Pointing04\personne03289+60+60.jpg,+60,+60
HeadPose\Pointing04\personne03290+60+75.jpg,+60,+75
HeadPose\Pointing04\personne03291+60+90.jpg,+60,+90
HeadPose\Pointing04\personne03292+90+0.jpg,+90,+0
HeadPose\Pointing04\personne04100-90+0.jpg,-90,+0
HeadPose\Pointing04\personne04101-60-90.jpg,-60,-90
HeadPose\Pointing04\personne04102-60-75.jpg,-60,-75
HeadPose\Pointing04\personne04103-60-60.jpg,-60,-60
HeadPose\Pointing04\personne04104-60-45.jpg,-60,-45
HeadPose\Pointing04\personne04105-60-30.jpg,-60,-30
HeadPose\Pointing04\personne04106-60-15.jpg,-60,-15
HeadPose\Pointing04\personne04107-60+0.jpg,-60,+0
HeadPose\Pointing04\personne04108-60+15.jpg,-60,+15
HeadPose\Pointing04\personne04109-60+30.jpg,-60,+30
HeadPose\Pointing04\personne04110-60+45.jpg,-60,+45
HeadPose\Pointing04\personne04111-60+60.jpg,-60,+60
HeadPose\Pointing04\personne04112-60+75.jpg,-60,+75
HeadPose\Pointing04\personne04113-60+90.jpg,-60,+90
HeadPose\Pointing04\personne04114-30-90.jpg,-30,-90
HeadPose\Pointing04\personne04115-30-75.jpg,-30,-75
HeadPose\Pointing04\personne04116-30-60.jpg,-30,-60
HeadPose\Pointing04\personne04117-30-45.jpg,-30,-45
HeadPose\Pointing04\personne04118-30-30.jpg,-30,-30
HeadPose\Pointing04\personne04119-30-15.jpg,-30,-15
HeadPose\Pointing04\personne04120-30+0.jpg,-30,+0
HeadPose\Pointing04\personne04121-30+15.jpg,-30,+15
HeadPose\Pointing04\personne04122-30+30.jpg,-30,+30
HeadPose\Pointing04\personne04123-30+45.jpg,-30,+45
HeadPose\Pointing04\personne04124-30+60.jpg,-30,+60
HeadPose\Pointing04\personne04125-30+75.jpg,-30,+75
HeadPose\Pointing04\personne04126-30+90.jpg,-30,+90
HeadPose\Pointing04\personne04127-15-90.jpg,-15,-90
HeadPose\Pointing04\personne04128-15-75.jpg,-15,-75
HeadPose\Pointing04\personne04129-15-60.jpg,-15,-60
HeadPose\Pointing04\personne04130-15-45.jpg,-15,-45
HeadPose\Pointing04\personne04131-15-30.jpg,-15,-30
HeadPose\Pointing04\personne04132-15-15.jpg,-15,-15
HeadPose\Pointing04\personne04133-15+0.jpg,-15,+0
HeadPose\Pointing04\personne04134-15+15.jpg,-15,+15
HeadPose\Pointing04\personne04135-15+30.jpg,-15,+30
HeadPose\Pointing04\personne04136-15+45.jpg,-15,+45
HeadPose\Pointing04\personne04137-15+60.jpg,-15,+60
HeadPose\Pointing04\personne04138-15+75.jpg,-15,+75
HeadPose\Pointing04\personne04139-15+90.jpg,-15,+90
HeadPose\Pointing04\personne04140+0-90.jpg,+0,-90
HeadPose\Pointing04\personne04141+0-75.jpg,+0,-75
HeadPose\Pointing04\personne04142+0-60.jpg,+0,-60
HeadPose\Pointing04\personne04143+0-45.jpg,+0,-45
HeadPose\Pointing04\personne04144+0-30.jpg,+0,-30
HeadPose\Pointing04\personne04145+0-15.jpg,+0,-15
HeadPose\Pointing04\personne04146+0+0.jpg,+0,+0
HeadPose\Pointing04\personne04147+0+15.jpg,+0,+15
HeadPose\Pointing04\personne04148+0+30.jpg,+0,+30
HeadPose\Pointing04\personne04149+0+45.jpg,+0,+45
HeadPose\Pointing04\personne04150+0+60.jpg,+0,+60
HeadPose\Pointing04\personne04151+0+75.jpg,+0,+75
HeadPose\Pointing04\personne04152+0+90.jpg,+0,+90
HeadPose\Pointing04\personne04153+15-90.jpg,+15,-90
HeadPose\Pointing04\personne04154+15-75.jpg,+15,-75
HeadPose\Pointing04\personne04155+15-60.jpg,+15,-60
HeadPose\Pointing04\personne04156+15-45.jpg,+15,-45
HeadPose\Pointing04\personne04157+15-30.jpg,+15,-30
HeadPose\Pointing04\personne04158+15-15.jpg,+15,-15
HeadPose\Pointing04\personne04159+15+0.jpg,+15,+0
HeadPose\Pointing04\personne04160+15+15.jpg,+15,+15
HeadPose\Pointing04\personne04161+15+30.jpg,+15,+30
HeadPose\Pointing04\personne04162+15+45.jpg,+15,+45
HeadPose\Pointing04\personne04163+15+60.jpg,+15,+60
HeadPose\Pointing04\personne04164+15+75.jpg,+15,+75
HeadPose\Pointing04\personne04165+15+90.jpg,+15,+90
HeadPose\Pointing04\personne04166+30-90.jpg,+30,-90
HeadPose\Pointing04\personne04167+30-75.jpg,+30,-75
HeadPose\Pointing04\personne04168+30-60.jpg,+30,-60
HeadPose\Pointing04\personne04169+30-45.jpg,+30,-45
HeadPose\Pointing04\personne04170+30-30.jpg,+30,-30
HeadPose\Pointing04\personne04171+30-15.jpg,+30,-15
HeadPose\Pointing04\personne04172+30+0.jpg,+30,+0
HeadPose\Pointing04\personne04173+30+15.jpg,+30,+15
HeadPose\Pointing04\personne04174+30+30.jpg,+30,+30
HeadPose\Pointing04\personne04175+30+45.jpg,+30,+45
HeadPose\Pointing04\personne04176+30+60.jpg,+30,+60
HeadPose\Pointing04\personne04177+30+75.jpg,+30,+75
HeadPose\Pointing04\personne04178+30+90.jpg,+30,+90
HeadPose\Pointing04\personne04179+60-90.jpg,+60,-90
HeadPose\Pointing04\personne04180+60-75.jpg,+60,-75
HeadPose\Pointing04\personne04181+60-60.jpg,+60,-60
HeadPose\Pointing04\personne04182+60-45.jpg,+60,-45
HeadPose\Pointing04\personne04183+60-30.jpg,+60,-30
HeadPose\Pointing04\personne04184+60-15.jpg,+60,-15
HeadPose\Pointing04\personne04185+60+0.jpg,+60,+0
HeadPose\Pointing04\personne04186+60+15.jpg,+60,+15
HeadPose\Pointing04\personne04187+60+30.jpg,+60,+30
HeadPose\Pointing04\personne04188+60+45.jpg,+60,+45
HeadPose\Pointing04\personne04189+60+60.jpg,+60,+60
HeadPose\Pointing04\personne04190+60+75.jpg,+60,+75
HeadPose\Pointing04\personne04191+60+90.jpg,+60,+90
HeadPose\Pointing04\personne04192+90+0.jpg,+90,+0
HeadPose\Pointing04\personne04200-90+0.jpg,-90,+0
HeadPose\Pointing04\personne04201-60-90.jpg,-60,-90
HeadPose\Pointing04\personne04202-60-75.jpg,-60,-75
HeadPose\Pointing04\personne04203-60-60.jpg,-60,-60
HeadPose\Pointing04\personne04204-60-45.jpg,-60,-45
HeadPose\Pointing04\personne04205-60-30.jpg,-60,-30
HeadPose\Pointing04\personne04206-60-15.jpg,-60,-15
HeadPose\Pointing04\personne04207-60+0.jpg,-60,+0
HeadPose\Pointing04\personne04208-60+15.jpg,-60,+15
HeadPose\Pointing04\personne04209-60+30.jpg,-60,+30
HeadPose\Pointing04\personne04210-60+45.jpg,-60,+45
HeadPose\Pointing04\personne04211-60+60.jpg,-60,+60
HeadPose\Pointing04\personne04212-60+75.jpg,-60,+75
HeadPose\Pointing04\personne04213-60+90.jpg,-60,+90
HeadPose\Pointing04\personne04214-30-90.jpg,-30,-90
HeadPose\Pointing04\personne04215-30-75.jpg,-30,-75
HeadPose\Pointing04\personne04216-30-60.jpg,-30,-60
HeadPose\Pointing04\personne04217-30-45.jpg,-30,-45
HeadPose\Pointing04\personne04218-30-30.jpg,-30,-30
HeadPose\Pointing04\personne04219-30-15.jpg,-30,-15
HeadPose\Pointing04\personne04220-30+0.jpg,-30,+0
HeadPose\Pointing04\personne04221-30+15.jpg,-30,+15
HeadPose\Pointing04\personne04222-30+30.jpg,-30,+30
HeadPose\Pointing04\personne04223-30+45.jpg,-30,+45
HeadPose\Pointing04\personne04224-30+60.jpg,-30,+60
HeadPose\Pointing04\personne04225-30+75.jpg,-30,+75
HeadPose\Pointing04\personne04226-30+90.jpg,-30,+90
HeadPose\Pointing04\personne04227-15-90.jpg,-15,-90
HeadPose\Pointing04\personne04228-15-75.jpg,-15,-75
HeadPose\Pointing04\personne04229-15-60.jpg,-15,-60
HeadPose\Pointing04\personne04230-15-45.jpg,-15,-45
HeadPose\Pointing04\personne04231-15-30.jpg,-15,-30
HeadPose\Pointing04\personne04232-15-15.jpg,-15,-15
HeadPose\Pointing04\personne04233-15+0.jpg,-15,+0
HeadPose\Pointing04\personne04234-15+15.jpg,-15,+15
HeadPose\Pointing04\personne04235-15+30.jpg,-15,+30
HeadPose\Pointing04\personne04236-15+45.jpg,-15,+45
HeadPose\Pointing04\personne04237-15+60.jpg,-15,+60
HeadPose\Pointing04\personne04238-15+75.jpg,-15,+75
HeadPose\Pointing04\personne04239-15+90.jpg,-15,+90
HeadPose\Pointing04\personne04240+0-90.jpg,+0,-90
HeadPose\Pointing04\personne04241+0-75.jpg,+0,-75
HeadPose\Pointing04\personne04242+0-60.jpg,+0,-60
HeadPose\Pointing04\personne04243+0-45.jpg,+0,-45
HeadPose\Pointing04\personne04244+0-30.jpg,+0,-30
HeadPose\Pointing04\personne04245+0-15.jpg,+0,-15
HeadPose\Pointing04\personne04246+0+0.jpg,+0,+0
HeadPose\Pointing04\personne04247+0+15.jpg,+0,+15
HeadPose\Pointing04\personne04248+0+30.jpg,+0,+30
HeadPose\Pointing04\personne04249+0+45.jpg,+0,+45
HeadPose\Pointing04\personne04250+0+60.jpg,+0,+60
HeadPose\Pointing04\personne04251+0+75.jpg,+0,+75
HeadPose\Pointing04\personne04252+0+90.jpg,+0,+90
HeadPose\Pointing04\personne04253+15-90.jpg,+15,-90
HeadPose\Pointing04\personne04254+15-75.jpg,+15,-75
HeadPose\Pointing04\personne04255+15-60.jpg,+15,-60
HeadPose\Pointing04\personne04256+15-45.jpg,+15,-45
HeadPose\Pointing04\personne04257+15-30.jpg,+15,-30
HeadPose\Pointing04\personne04258+15-15.jpg,+15,-15
HeadPose\Pointing04\personne04259+15+0.jpg,+15,+0
HeadPose\Pointing04\personne04260+15+15.jpg,+15,+15
HeadPose\Pointing04\personne04261+15+30.jpg,+15,+30
HeadPose\Pointing04\personne04262+15+45.jpg,+15,+45
HeadPose\Pointing04\personne04263+15+60.jpg,+15,+60
HeadPose\Pointing04\personne04264+15+75.jpg,+15,+75
HeadPose\Pointing04\personne04265+15+90.jpg,+15,+90
HeadPose\Pointing04\personne04266+30-90.jpg,+30,-90
HeadPose\Pointing04\personne04267+30-75.jpg,+30,-75
HeadPose\Pointing04\personne04268+30-60.jpg,+30,-60
HeadPose\Pointing04\personne04269+30-45.jpg,+30,-45
HeadPose\Pointing04\personne04270+30-30.jpg,+30,-30
HeadPose\Pointing04\personne04271+30-15.jpg,+30,-15
HeadPose\Pointing04\personne04272+30+0.jpg,+30,+0
HeadPose\Pointing04\personne04273+30+15.jpg,+30,+15
HeadPose\Pointing04\personne04274+30+30.jpg,+30,+30
HeadPose\Pointing04\personne04275+30+45.jpg,+30,+45
HeadPose\Pointing04\personne04276+30+60.jpg,+30,+60
HeadPose\Pointing04\personne04277+30+75.jpg,+30,+75
HeadPose\Pointing04\personne04278+30+90.jpg,+30,+90
HeadPose\Pointing04\personne04279+60-90.jpg,+60,-90
HeadPose\Pointing04\personne04280+60-75.jpg,+60,-75
HeadPose\Pointing04\personne04281+60-60.jpg,+60,-60
HeadPose\Pointing04\personne04282+60-45.jpg,+60,-45
HeadPose\Pointing04\personne04283+60-30.jpg,+60,-30
HeadPose\Pointing04\personne04284+60-15.jpg,+60,-15
HeadPose\Pointing04\personne04285+60+0.jpg,+60,+0
HeadPose\Pointing04\personne04286+60+15.jpg,+60,+15
HeadPose\Pointing04\personne04287+60+30.jpg,+60,+30
HeadPose\Pointing04\personne04288+60+45.jpg,+60,+45
HeadPose\Pointing04\personne04289+60+60.jpg,+60,+60
HeadPose\Pointing04\personne04290+60+75.jpg,+60,+75
HeadPose\Pointing04\personne04291+60+90.jpg,+60,+90
HeadPose\Pointing04\personne04292+90+0.jpg,+90,+0
HeadPose\Pointing04\personne05100-90+0.jpg,-90,+0
HeadPose\Pointing04\personne05101-60-90.jpg,-60,-90
HeadPose\Pointing04\personne05102-60-75.jpg,-60,-75
HeadPose\Pointing04\personne05103-60-60.jpg,-60,-60
HeadPose\Pointing04\personne05104-60-45.jpg,-60,-45
HeadPose\Pointing04\personne05105-60-30.jpg,-60,-30
HeadPose\Pointing04\personne05106-60-15.jpg,-60,-15
HeadPose\Pointing04\personne05107-60+0.jpg,-60,+0
HeadPose\Pointing04\personne05108-60+15.jpg,-60,+15
HeadPose\Pointing04\personne05109-60+30.jpg,-60,+30
HeadPose\Pointing04\personne05110-60+45.jpg,-60,+45
HeadPose\Pointing04\personne05111-60+60.jpg,-60,+60
HeadPose\Pointing04\personne05112-60+75.jpg,-60,+75
HeadPose\Pointing04\personne05113-60+90.jpg,-60,+90
HeadPose\Pointing04\personne05114-30-90.jpg,-30,-90
HeadPose\Pointing04\personne05115-30-75.jpg,-30,-75
HeadPose\Pointing04\personne05116-30-60.jpg,-30,-60
HeadPose\Pointing04\personne05117-30-45.jpg,-30,-45
HeadPose\Pointing04\personne05118-30-30.jpg,-30,-30
HeadPose\Pointing04\personne05119-30-15.jpg,-30,-15
HeadPose\Pointing04\personne05120-30+0.jpg,-30,+0
HeadPose\Pointing04\personne05121-30+15.jpg,-30,+15
HeadPose\Pointing04\personne05122-30+30.jpg,-30,+30
HeadPose\Pointing04\personne05123-30+45.jpg,-30,+45
HeadPose\Pointing04\personne05124-30+60.jpg,-30,+60
HeadPose\Pointing04\personne05125-30+75.jpg,-30,+75
HeadPose\Pointing04\personne05126-30+90.jpg,-30,+90
HeadPose\Pointing04\personne05127-15-90.jpg,-15,-90
HeadPose\Pointing04\personne05128-15-75.jpg,-15,-75
HeadPose\Pointing04\personne05129-15-60.jpg,-15,-60
HeadPose\Pointing04\personne05130-15-45.jpg,-15,-45
HeadPose\Pointing04\personne05131-15-30.jpg,-15,-30
HeadPose\Pointing04\personne05132-15-15.jpg,-15,-15
HeadPose\Pointing04\personne05133-15+0.jpg,-15,+0
HeadPose\Pointing04\personne05134-15+15.jpg,-15,+15
HeadPose\Pointing04\personne05135-15+30.jpg,-15,+30
HeadPose\Pointing04\personne05136-15+45.jpg,-15,+45
HeadPose\Pointing04\personne05137-15+60.jpg,-15,+60
HeadPose\Pointing04\personne05138-15+75.jpg,-15,+75
HeadPose\Pointing04\personne05139-15+90.jpg,-15,+90
HeadPose\Pointing04\personne05140+0-90.jpg,+0,-90
HeadPose\Pointing04\personne05141+0-75.jpg,+0,-75
HeadPose\Pointing04\personne05142+0-60.jpg,+0,-60
HeadPose\Pointing04\personne05143+0-45.jpg,+0,-45
HeadPose\Pointing04\personne05144+0-30.jpg,+0,-30
HeadPose\Pointing04\personne05145+0-15.jpg,+0,-15
HeadPose\Pointing04\personne05146+0+0.jpg,+0,+0
HeadPose\Pointing04\personne05147+0+15.jpg,+0,+15
HeadPose\Pointing04\personne05148+0+30.jpg,+0,+30
HeadPose\Pointing04\personne05149+0+45.jpg,+0,+45
HeadPose\Pointing04\personne05150+0+60.jpg,+0,+60
HeadPose\Pointing04\personne05151+0+75.jpg,+0,+75
HeadPose\Pointing04\personne05152+0+90.jpg,+0,+90
HeadPose\Pointing04\personne05153+15-90.jpg,+15,-90
HeadPose\Pointing04\personne05154+15-75.jpg,+15,-75
HeadPose\Pointing04\personne05155+15-60.jpg,+15,-60
HeadPose\Pointing04\personne05156+15-45.jpg,+15,-45
HeadPose\Pointing04\personne05157+15-30.jpg,+15,-30
HeadPose\Pointing04\personne05158+15-15.jpg,+15,-15
HeadPose\Pointing04\personne05159+15+0.jpg,+15,+0
HeadPose\Pointing04\personne05160+15+15.jpg,+15,+15
HeadPose\Pointing04\personne05161+15+30.jpg,+15,+30
HeadPose\Pointing04\personne05162+15+45.jpg,+15,+45
HeadPose\Pointing04\personne05163+15+60.jpg,+15,+60
HeadPose\Pointing04\personne05164+15+75.jpg,+15,+75
HeadPose\Pointing04\personne05165+15+90.jpg,+15,+90
HeadPose\Pointing04\personne05166+30-90.jpg,+30,-90
HeadPose\Pointing04\personne05167+30-75.jpg,+30,-75
HeadPose\Pointing04\personne05168+30-60.jpg,+30,-60
HeadPose\Pointing04\personne05169+30-45.jpg,+30,-45
HeadPose\Pointing04\personne05170+30-30.jpg,+30,-30
HeadPose\Pointing04\personne05171+30-15.jpg,+30,-15
HeadPose\Pointing04\personne05172+30+0.jpg,+30,+0
HeadPose\Pointing04\personne05173+30+15.jpg,+30,+15
HeadPose\Pointing04\personne05174+30+30.jpg,+30,+30
HeadPose\Pointing04\personne05175+30+45.jpg,+30,+45
HeadPose\Pointing04\personne05176+30+60.jpg,+30,+60
HeadPose\Pointing04\personne05177+30+75.jpg,+30,+75
HeadPose\Pointing04\personne05178+30+90.jpg,+30,+90
HeadPose\Pointing04\personne05179+60-90.jpg,+60,-90
HeadPose\Pointing04\personne05180+60-75.jpg,+60,-75
HeadPose\Pointing04\personne05181+60-60.jpg,+60,-60
HeadPose\Pointing04\personne05182+60-45.jpg,+60,-45
HeadPose\Pointing04\personne05183+60-30.jpg,+60,-30
HeadPose\Pointing04\personne05184+60-15.jpg,+60,-15
HeadPose\Pointing04\personne05185+60+0.jpg,+60,+0
HeadPose\Pointing04\personne05186+60+15.jpg,+60,+15
HeadPose\Pointing04\personne05187+60+30.jpg,+60,+30
HeadPose\Pointing04\personne05188+60+45.jpg,+60,+45
HeadPose\Pointing04\personne05189+60+60.jpg,+60,+60
HeadPose\Pointing04\personne05190+60+75.jpg,+60,+75
HeadPose\Pointing04\personne05191+60+90.jpg,+60,+90
HeadPose\Pointing04\personne05192+90+0.jpg,+90,+0
HeadPose\Pointing04\personne05200-90+0.jpg,-90,+0
HeadPose\Pointing04\personne05201-60-90.jpg,-60,-90
HeadPose\Pointing04\personne05202-60-75.jpg,-60,-75
HeadPose\Pointing04\personne05203-60-60.jpg,-60,-60
HeadPose\Pointing04\personne05204-60-45.jpg,-60,-45
HeadPose\Pointing04\personne05205-60-30.jpg,-60,-30
HeadPose\Pointing04\personne05206-60-15.jpg,-60,-15
HeadPose\Pointing04\personne05207-60+0.jpg,-60,+0
HeadPose\Pointing04\personne05208-60+15.jpg,-60,+15
HeadPose\Pointing04\personne05209-60+30.jpg,-60,+30
HeadPose\Pointing04\personne05210-60+45.jpg,-60,+45
HeadPose\Pointing04\personne05211-60+60.jpg,-60,+60
HeadPose\Pointing04\personne05212-60+75.jpg,-60,+75
HeadPose\Pointing04\personne05213-60+90.jpg,-60,+90
HeadPose\Pointing04\personne05214-30-90.jpg,-30,-90
HeadPose\Pointing04\personne05215-30-75.jpg,-30,-75
HeadPose\Pointing04\personne05216-30-60.jpg,-30,-60
HeadPose\Pointing04\personne05217-30-45.jpg,-30,-45
HeadPose\Pointing04\personne05218-30-30.jpg,-30,-30
HeadPose\Pointing04\personne05219-30-15.jpg,-30,-15
HeadPose\Pointing04\personne05220-30+0.jpg,-30,+0
HeadPose\Pointing04\personne05221-30+15.jpg,-30,+15
HeadPose\Pointing04\personne05222-30+30.jpg,-30,+30
HeadPose\Pointing04\personne05223-30+45.jpg,-30,+45
HeadPose\Pointing04\personne05224-30+60.jpg,-30,+60
HeadPose\Pointing04\personne05225-30+75.jpg,-30,+75
HeadPose\Pointing04\personne05226-30+90.jpg,-30,+90
HeadPose\Pointing04\personne05227-15-90.jpg,-15,-90
HeadPose\Pointing04\personne05228-15-75.jpg,-15,-75
HeadPose\Pointing04\personne05229-15-60.jpg,-15,-60
HeadPose\Pointing04\personne05230-15-45.jpg,-15,-45
HeadPose\Pointing04\personne05231-15-30.jpg,-15,-30
HeadPose\Pointing04\personne05232-15-15.jpg,-15,-15
HeadPose\Pointing04\personne05233-15+0.jpg,-15,+0
HeadPose\Pointing04\personne05234-15+15.jpg,-15,+15
HeadPose\Pointing04\personne05235-15+30.jpg,-15,+30
HeadPose\Pointing04\personne05236-15+45.jpg,-15,+45
HeadPose\Pointing04\personne05237-15+60.jpg,-15,+60
HeadPose\Pointing04\personne05238-15+75.jpg,-15,+75
HeadPose\Pointing04\personne05239-15+90.jpg,-15,+90
HeadPose\Pointing04\personne05240+0-90.jpg,+0,-90
HeadPose\Pointing04\personne05241+0-75.jpg,+0,-75
HeadPose\Pointing04\personne05242+0-60.jpg,+0,-60
HeadPose\Pointing04\personne05243+0-45.jpg,+0,-45
HeadPose\Pointing04\personne05244+0-30.jpg,+0,-30
HeadPose\Pointing04\personne05245+0-15.jpg,+0,-15
HeadPose\Pointing04\personne05246+0+0.jpg,+0,+0
HeadPose\Pointing04\personne05247+0+15.jpg,+0,+15
HeadPose\Pointing04\personne05248+0+30.jpg,+0,+30
HeadPose\Pointing04\personne05249+0+45.jpg,+0,+45
HeadPose\Pointing04\personne05250+0+60.jpg,+0,+60
HeadPose\Pointing04\personne05251+0+75.jpg,+0,+75
HeadPose\Pointing04\personne05252+0+90.jpg,+0,+90
HeadPose\Pointing04\personne05253+15-90.jpg,+15,-90
HeadPose\Pointing04\personne05254+15-75.jpg,+15,-75
HeadPose\Pointing04\personne05255+15-60.jpg,+15,-60
HeadPose\Pointing04\personne05256+15-45.jpg,+15,-45
HeadPose\Pointing04\personne05257+15-30.jpg,+15,-30
HeadPose\Pointing04\personne05258+15-15.jpg,+15,-15
HeadPose\Pointing04\personne05259+15+0.jpg,+15,+0
HeadPose\Pointing04\personne05260+15+15.jpg,+15,+15
HeadPose\Pointing04\personne05261+15+30.jpg,+15,+30
HeadPose\Pointing04\personne05262+15+45.jpg,+15,+45
HeadPose\Pointing04\personne05263+15+60.jpg,+15,+60
